ID,LL_Total_RPKM,HL_Total_RPKM,LL_Total_logCPM,HL_Total_logCPM,Total_PValue,Total_FDR,LL_Ribo_RPKM,HL_Ribo_RPKM,LL_Ribo_log2CPM,HL_Ribo_log2CPM,Ribo_PValue,Ribo_FDR,TotalFC,RiboFC,TE0,TE10,FcPoly,FcT10,rTE10
AT1G04400,14.67685875,11.69729864,5.616608832,5.306642141,0.193674771,1,18.02144634,13.55171647,5.898314047,5.505034183,0.028767922,0.881555119,0.796989249,0.751977184,1.227881705,1.158533854,0.751977184,0.796989249,0.943522368
AT1G04410,44.24881711,38.96803705,6.798493608,6.619296065,0.434733235,1,67.52423548,52.90976214,7.397328507,7.050794035,0.00678378,0.365144357,0.880657147,0.783566993,1.526012217,1.357773348,0.783566993,0.880657147,0.889752607
AT1G04430,8.849636405,7.72916785,5.104133906,4.922971792,0.497595452,1,10.60281333,8.496560088,5.346132049,5.046394832,0.161749009,1,0.873388182,0.801349587,1.198107227,1.099285234,0.801349587,0.873388182,0.91751824
AT1G04480,12.60287179,15.28865559,4.447223382,4.698598746,0.343016898,1,194.483976,201.0010643,8.242992419,8.290198564,0.796208489,1,1.213108873,1.033509641,15.431719,13.14707255,1.033509641,1.213108873,0.851951267
AT1G04530,4.620935813,4.253199831,3.549811534,3.454790191,0.883039688,1,5.611431578,5.096214139,3.771250277,3.656261158,0.694141869,1,0.920419587,0.908184314,1.214349605,1.198207077,0.908184314,0.920419587,0.986706853
AT1G04570,0.76843003,1.349140594,2.028164,2.432955898,0.581095594,1,1.207310513,0.817743795,2.324614691,2.043719004,0.774436089,1,1.755710398,0.677326824,1.571139161,0.606122,0.677326824,1.755710398,0.38578505
AT1G04635,0.70304304,1.77909043,1.505732256,1.855488212,0.625012207,1,0.999421743,1.568714891,1.578345531,1.764865038,1,1,2.53055692,1.569622536,1.421565518,0.88175107,1.569622536,2.53055692,0.620267627
AT1G04640,7.078246217,7.802728316,3.592543163,3.707016418,0.783937716,1,5.5441727,6.4070538,3.305357349,3.46888329,0.644082987,1,1.102353334,1.155637486,0.783269263,0.821129936,1.155637486,1.102353334,1.048336727
AT1G04680,1.586912049,1.291815284,3.245081382,3.027080441,0.728403201,1,3.05956241,2.429624007,4.004412481,3.723617081,0.457259583,1,0.814043403,0.794108334,1.927997466,1.880782831,0.794108334,0.814043403,0.975511049
AT1G04690,8.373009496,9.15291905,4.476275172,4.591833747,0.699424565,1,10.62559315,9.241242083,4.784074778,4.600324662,0.478377191,1,1.093145667,0.869715408,1.269029153,1.009649712,0.869715408,1.093145667,0.795607973
AT1G04750,8.01238488,8.593719333,4.310170076,4.399710873,0.835968899,1,10.19635262,9.749655382,4.617157961,4.558602981,0.851005664,1,1.072554484,0.956190487,1.272573993,1.134509402,0.956190487,1.072554484,0.891507612
AT1G04770,1.982385014,2.860405617,2.447031232,2.773109864,0.503515049,1,2.812864207,3.422755273,2.742652495,2.936122014,0.845051765,1,1.442911239,1.216822079,1.418929313,1.196597872,1.216822079,1.442911239,0.843310417
AT1G04790,1.038548917,0.834380284,2.668846079,2.476961424,0.814556582,1,1.50444344,1.412721064,3.017628388,2.9528206,1,1,0.80340971,0.939032353,1.448601424,1.693138118,0.939032353,0.80340971,1.168808818
AT1G04800,1.87992722,1.143089006,2.090674083,1.808789906,0.7265803,1,11.86282535,11.81136442,3.851077122,3.847279255,1,1,0.608049606,0.995662001,6.310257772,10.33284754,0.995662001,0.608049606,1.637468375
AT1G04810,0.877677875,0.716368793,2.819226524,2.629715442,0.831842009,1,1.868702164,1.410450795,3.623811898,3.301507552,0.471053121,1,0.816209242,0.754775599,2.129143524,1.968889221,0.754775599,0.816209242,0.924732973
AT1G04820,26.34215462,24.70081847,6.070668267,5.981292548,0.720931482,1,34.37500257,27.43690658,6.441575516,6.125793879,0.040583644,0.995559136,0.937691652,0.798164495,1.304942707,1.110769127,0.798164495,0.937691652,0.851201452
